filepath,filename,filetype,author,category,comments,content_status,created,identifier,keywords,language,last_modified_by,last_printed,modified,revision,subject,title,version
string,string,string,string,string,string,string,datetime,string,string,string,string,datetime,datetime,integer,string,string,string
D:\Dropbox\~McKinnon-Mulherin\2419 Shipley Macros\Third_Draft\18_r3.01_jlp_Shipley Pink Team Assessment Form v2.0.docx,18_r3.01_jlp_Shipley Pink Team Assessment Form v2.0.docx,.docx,,Tools and Templates,Keep,Keep,2017-03-19,Keep,Keep,English,,2017-03-19,2017-03-19,1,Keep,Pink Team Assessment Form,Keep
D:\Dropbox\~McKinnon-Mulherin\2419 Shipley Macros\Third_Draft\19_r3.01_jlp_Shipley Pink Team Inbriefing Template.pptx,19_r3.01_jlp_Shipley Pink Team Inbriefing Template.pptx,.pptx,,Tools and Templates,Keep,Keep,2017-03-19,Keep,Keep,English,,2017-03-19,2017-03-19,1,Keep,Pink Team Inbriefing Template,Keep
D:\Dropbox\~McKinnon-Mulherin\2419 Shipley Macros\Third_Draft\20_r3.01_jlp_Shipley Pink Team Instructions v2.1.docx,20_r3.01_jlp_Shipley Pink Team Instructions v2.1.docx,.docx,,Tools and Templates,Keep,Keep,2017-03-19,Keep,Keep,English,,2017-03-19,2017-03-19,1,Keep,Pink Team Instructions,Keep
D:\Dropbox\~McKinnon-Mulherin\2419 Shipley Macros\Third_Draft\21_r3.01_jlp_Shipley Pink Team Out Briefing Template.pptx,21_r3.01_jlp_Shipley Pink Team Out Briefing Template.pptx,.pptx,,Tools and Templates,Keep,Keep,2017-03-19,Keep,Keep,English,,2017-03-19,2017-03-19,1,Keep,Pink Team Out Briefing Template,Keep
D:\Dropbox\~McKinnon-Mulherin\2419 Shipley Macros\Third_Draft\22_r3.01_jlp_Shipley Pink Team Planner v2.0.docx,22_r3.01_jlp_Shipley Pink Team Planner v2.0.docx,.docx,,Tools and Templates,Keep,Keep,2017-03-19,Keep,Keep,English,,2017-03-19,2017-03-19,1,Keep,Pink Team Planner,Keep
D:\Dropbox\~McKinnon-Mulherin\2419 Shipley Macros\Third_Draft\23_r3.01_jlp_Shipley Pink Team Review Form v2.0.docx,23_r3.01_jlp_Shipley Pink Team Review Form v2.0.docx,.docx,,Tools and Templates,Keep,Keep,2017-03-19,Keep,Keep,English,,2017-03-19,2017-03-19,1,Keep,Pink Team Review Form,Keep
D:\Dropbox\~McKinnon-Mulherin\2419 Shipley Macros\Third_Draft\24_r3.01_jlp_Shipley Project Basis of Estimate Template v1.0.docx,24_r3.01_jlp_Shipley Project Basis of Estimate Template v1.0.docx,.docx,,Tools and Templates,Keep,Keep,2017-03-19,Keep,Keep,English,,2017-03-19,2017-03-19,1,Keep,Project Basis of Estimate Template,Keep
D:\Dropbox\~McKinnon-Mulherin\2419 Shipley Macros\Third_Draft\25_r3.01_jlp_Shipley Proposal Outline and Status Tracker v2.2.xlsx,25_r3.01_jlp_Shipley Proposal Outline and Status Tracker v2.2.xlsx,.xlsx,,Tools and Templates,Keep,Keep,2017-03-19,Keep,Keep,English,,2017-03-19,2017-03-19,1,Keep,Proposal Outline and Status Tracker,Keep
D:\Dropbox\~McKinnon-Mulherin\2419 Shipley Macros\Third_Draft\28_r3.01_jlp_Shipley Proposal Section Organizer V1.3.docx,28_r3.01_jlp_Shipley Proposal Section Organizer V1.3.docx,.docx,,Tools and Templates,Keep,Keep,2017-03-19,Keep,Keep,English,,2017-03-19,2017-03-19,1,Keep,Proposal Section Organizer,Keep
D:\Dropbox\~McKinnon-Mulherin\2419 Shipley Macros\Third_Draft\29_r3.01_jlp_Shipley Proposal Section Planner V2.7.docx,29_r3.01_jlp_Shipley Proposal Section Planner V2.7.docx,.docx,,Tools and Templates,Keep,Keep,2017-03-19,Keep,Keep,English,,2017-03-19,2017-03-19,1,Keep,Proposal Section Planner,Keep
D:\Dropbox\~McKinnon-Mulherin\2419 Shipley Macros\Third_Draft\30_r3.01_jlp_Shipley Red Team Assignments and Summary v2.3.2.xlsx,30_r3.01_jlp_Shipley Red Team Assignments and Summary v2.3.2.xlsx,.xlsx,,Tools and Templates,Keep,Keep,2017-03-19,Keep,Keep,English,,2017-03-19,2017-03-19,1,Keep,Red Team Assignments and Summary,Keep
D:\Dropbox\~McKinnon-Mulherin\2419 Shipley Macros\Third_Draft\31_r3.01_jlp_Shipley Red Team Debriefing v1.2.pptx,31_r3.01_jlp_Shipley Red Team Debriefing v1.2.pptx,.pptx,,Tools and Templates,Keep,Keep,2017-03-19,Keep,Keep,English,,2017-03-19,2017-03-19,1,Keep,Red Team Debriefing,Keep
D:\Dropbox\~McKinnon-Mulherin\2419 Shipley Macros\Third_Draft\32_r3.01_jlp_Shipley Red Team Horizontal Review v2.docx,32_r3.01_jlp_Shipley Red Team Horizontal Review v2.docx,.docx,,Tools and Templates,Keep,Keep,2017-03-19,Keep,Keep,English,,2017-03-19,2017-03-19,1,Keep,Red Team Horizontal Review,Keep
D:\Dropbox\~McKinnon-Mulherin\2419 Shipley Macros\Third_Draft\33_r3.01_jlp_Shipley Red Team In-briefing v1.2.pptx,33_r3.01_jlp_Shipley Red Team In-briefing v1.2.pptx,.pptx,,Tools and Templates,Keep,Keep,2017-03-19,Keep,Keep,English,,2017-03-19,2017-03-19,1,Keep,Red Team In-briefing,Keep
D:\Dropbox\~McKinnon-Mulherin\2419 Shipley Macros\Third_Draft\34_r3.01_jlp_Shipley Red Team Instructions v2.1.docx,34_r3.01_jlp_Shipley Red Team Instructions v2.1.docx,.docx,,Tools and Templates,Keep,Keep,2017-03-19,Keep,Keep,English,,2017-03-19,2017-03-19,1,Keep,Red Team Instructions,Keep
D:\Dropbox\~McKinnon-Mulherin\2419 Shipley Macros\Third_Draft\35_r3.01_jlp_Shipley Red Team Planner v2.4.docx,35_r3.01_jlp_Shipley Red Team Planner v2.4.docx,.docx,,Tools and Templates,Keep,Keep,2017-03-19,Keep,Keep,English,,2017-03-19,2017-03-19,1,Keep,Red Team Planner,Keep
D:\Dropbox\~McKinnon-Mulherin\2419 Shipley Macros\Third_Draft\36_r3.01_jlp_Shipley Red Team Review Checklist.pptx,36_r3.01_jlp_Shipley Red Team Review Checklist.pptx,.pptx,,Tools and Templates,Keep,Keep,2017-03-19,Keep,Keep,English,,2017-03-19,2017-03-19,1,Keep,Red Team Review Checklist,Keep
D:\Dropbox\~McKinnon-Mulherin\2419 Shipley Macros\Third_Draft\37_r3.01_jlp_Shipley Red Team Review Form v3.docx,37_r3.01_jlp_Shipley Red Team Review Form v3.docx,.docx,,Tools and Templates,Keep,Keep,2017-03-19,Keep,Keep,English,,2017-03-19,2017-03-19,1,Keep,Red Team Review Form,Keep
D:\Dropbox\~McKinnon-Mulherin\2419 Shipley Macros\Third_Draft\38_r3.01_jlp_Shipley Red Team Scoring Guidance v2.1.docx,38_r3.01_jlp_Shipley Red Team Scoring Guidance v2.1.docx,.docx,,Tools and Templates,Keep,Keep,2017-03-19,Keep,Keep,English,,2017-03-19,2017-03-19,1,Keep,Red Team Scoring Guidance,Keep
D:\Dropbox\~McKinnon-Mulherin\2419 Shipley Macros\Third_Draft\39_r3.01_jlp_Shipley Strategy Statement Template v1.docx,39_r3.01_jlp_Shipley Strategy Statement Template v1.docx,.docx,,Tools and Templates,Keep,Keep,2017-03-19,Keep,Keep,English,,2017-03-19,2017-03-19,1,Keep,Strategy Statement Template,Keep
D:\Dropbox\~McKinnon-Mulherin\2419 Shipley Macros\Third_Draft\40_r3.01_jlp_Shipley White Team Instructions v2.0.docx,40_r3.01_jlp_Shipley White Team Instructions v2.0.docx,.docx,,Tools and Templates,Keep,Keep,2017-03-19,Keep,Keep,English,,2017-03-19,2017-03-19,1,Keep,White Team Instructions,Keep
D:\Dropbox\~McKinnon-Mulherin\2419 Shipley Macros\Third_Draft\41_r3.01_jlp_Shipley White Team Lessons Learned Review Checklist v2.0.1.pptx,41_r3.01_jlp_Shipley White Team Lessons Learned Review Checklist v2.0.1.pptx,.pptx,,Tools and Templates,Keep,Keep,2017-03-19,Keep,Keep,English,,2017-03-19,2017-03-19,1,Keep,White Team Lessons Learned Review Checklist,Keep
D:\Dropbox\~McKinnon-Mulherin\2419 Shipley Macros\Third_Draft\42_r3.01_jlp_Shipley White Team Lessons Learned Survey v2.0.docx,42_r3.01_jlp_Shipley White Team Lessons Learned Survey v2.0.docx,.docx,,Tools and Templates,Keep,Keep,2017-03-19,Keep,Keep,English,,2017-03-19,2017-03-19,1,Keep,White Team Lessons Learned Survey,Keep
D:\Dropbox\~McKinnon-Mulherin\2419 Shipley Macros\Third_Draft\43_r3.01_jlp_Shipley White Team Planner v2.0.docx,43_r3.01_jlp_Shipley White Team Planner v2.0.docx,.docx,,Tools and Templates,Keep,Keep,2017-03-19,Keep,Keep,English,,2017-03-19,2017-03-19,1,Keep,White Team Planner,Keep
